genus,age,latitude
spisula,Modern,32.33993
spisula,Modern,26.5138
spisula,Modern,24.82443
spisula,Modern,27.15005
spisula,Modern,27.69569
spisula,Modern,28.32001
spisula,Modern,34.71624
spisula,Modern,24.82443
spisula,Modern,27.2706
spisula,Modern,34.71822
spisula,Modern,24.82443
spisula,Modern,29.90632
spisula,Modern,32.79802
spisula,Modern,26.436427
spisula,Modern,38.951535
spisula,Modern,40.146667
spisula,Modern,39.354225
spisula,Modern,39.850013
spisula,Modern,39.274437
spisula,Modern,34.653867
spisula,Modern,28.388288
spisula,Modern,34.647884
spisula,Modern,27.687486
spisula,Modern,40.479313
spisula,Modern,39.062957
spisula,Modern,38.602028
spisula,Modern,35.875343
spisula,Modern,32.790055
spisula,Modern,30.565407
spisula,Modern,39.279963
spisula,Modern,40.408008
spisula,Modern,39.853386
spisula,Modern,27.320013
spisula,Modern,33.912528
spisula,Modern,39.853386
spisula,Modern,38.516501
spisula,Modern,26.436918
spisula,Modern,26.020601
spisula,Modern,35.184656
spisula,Modern,38.720663
spisula,Modern,39.01518
spisula,Modern,39.975627
spisula,Modern,38.768969
spisula,Modern,39.932519
spisula,Modern,34.647638
spisula,Modern,26.436792
spisula,Modern,39.73642
spisula,Modern,39.920532
spisula,Modern,26.435926
spisula,Modern,33.837623
spisula,Modern,39.097559
spisula,Modern,38.606494
spisula,Modern,39.355628
spisula,Modern,39.278345
spisula,Modern,40.213375
spisula,Modern,39.280357
spisula,Modern,39.842977
spisula,Modern,39.229736
spisula,Modern,38.607417
spisula,Modern,26.436814
spisula,Modern,40.458899
spisula,Modern,38.609106
spisula,Modern,38.592894
spisula,Modern,26.36557
spisula,Modern,26.436496
spisula,Modern,38.607581
spisula,Modern,27.513746
spisula,Modern,40.459457
spisula,Modern,28.293488
spisula,Modern,36.839451
spisula,Modern,26.441922
spisula,Modern,26.436111
spisula,Modern,27.470784
spisula,Modern,39.9425
spisula,Modern,26.436291
spisula,Modern,40.429044
spisula,Modern,39.90909
spisula,Modern,27.271387
spisula,Modern,40.417219
spisula,Modern,39.325626
spisula,Modern,38.692772
spisula,Modern,39.048843
spisula,Modern,40.500309
spisula,Modern,29.714078
spisula,Modern,26.430472
spisula,Modern,39.924387
spisula,Modern,38.723288
spisula,Modern,38.949856
spisula,Modern,27.620082
spisula,Modern,39.311947
spisula,Modern,39.850013
spisula,Modern,27.275588
spisula,Modern,25.920245
spisula,Modern,39.357788
spisula,Modern,26.437591
spisula,Modern,38.950849
spisula,Modern,26.436277
spisula,Modern,38.974195
spisula,Modern,27.265423
spisula,Modern,38.046489
spisula,Modern,38.609422
spisula,Modern,39.854251
spisula,Modern,38.607553
spisula,Modern,27.791188
spisula,Modern,40.143232
spisula,Modern,27.709178
spisula,Modern,27.946162
spisula,Modern,26.481758
spisula,Modern,27.270344
spisula,Modern,39.27739
spisula,Modern,39.320105
spisula,Modern,26.43608
spisula,Modern,40.458899
spisula,Modern,40.146602
spisula,Modern,39.355633
spisula,Modern,38.951535
spisula,Modern,38.950849
spisula,Modern,39.842977
spisula,Modern,35.771544
spisula,Modern,38.768969
spisula,Modern,26.481771
spisula,Modern,29.716958
spisula,Modern,39.850013
spisula,Modern,26.441903
spisula,Modern,32.173646
spisula,Modern,38.428286
spisula,Modern,39.312742
spisula,Modern,26.436267
spisula,Modern,29.734763
spisula,Modern,40.435608
spisula,Modern,40.475899
spisula,Modern,26.43632
spisula,Modern,26.219144
spisula,Modern,35.773268
spisula,Modern,39.265839
spisula,Modern,26.43652
spisula,Modern,39.852768
spisula,Modern,39.054255
spisula,Modern,40.115601
spisula,Modern,38.6096
spisula,Modern,38.951535
spisula,Modern,40.160252
spisula,Modern,40.110683
spisula,Modern,39.320248
spisula,Modern,26.43631
spisula,Modern,39.339992
spisula,Modern,36.914172
spisula,Modern,39.03682
spisula,Modern,26.436128
spisula,Modern,27.246674
spisula,Modern,38.951535
spisula,Modern,38.429824
spisula,Modern,33.840513
spisula,Modern,35.769958
spisula,Modern,40.213324
spisula,Modern,39.063153
spisula,Modern,40.408138
spisula,Modern,40.416808
spisula,Modern,38.768969
spisula,Modern,26.445531
spisula,Modern,26.481353
spisula,Modern,25.937407
spisula,Modern,33.35
spisula,Modern,26.442205
spisula,Modern,27.789858
spisula,Modern,39.420005
spisula,Modern,38.606843
spisula,Modern,40.407376
spisula,Modern,39.36038
spisula,Modern,26.436069
spisula,Modern,38.740239
spisula,Modern,40.428162
spisula,Modern,38.606458
spisula,Modern,39.349664
spisula,Modern,39.309028
spisula,Modern,26.437509
spisula,Modern,39.067147
spisula,Modern,26.479785
spisula,Modern,27.590934
spisula,Modern,26.021207
spisula,Modern,39.048573
spisula,Modern,26.480491
spisula,Modern,35.250537
spisula,Modern,38.964508
spisula,Modern,39.815202
spisula,Modern,30.661985
spisula,Modern,38.689172
spisula,Modern,39.313409
spisula,Modern,32.577128
spisula,Modern,34.647635
spisula,Modern,27.263538
spisula,Modern,38.79345
spisula,Modern,40.164056
spisula,Modern,26.436383
spisula,Modern,32.790103
spisula,Modern,39.178558
spisula,Modern,38.749037
spisula,Modern,38.2033
spisula,Modern,26.436054
spisula,Modern,35.558493
spisula,Modern,29.732725
spisula,Modern,37.129397
spisula,Modern,39.350275
spisula,Modern,38.60757
spisula,Modern,40.416906
spisula,Modern,40.316257
spisula,Modern,26.435874
spisula,Modern,37.936223
spisula,Modern,26.466737
spisula,Modern,39.933459
spisula,Modern,40.100547
spisula,Modern,39.963035
spisula,Modern,26.432892
spisula,Modern,40.209198
spisula,Modern,40.406637
spisula,Modern,28.356029
spisula,Modern,40.106282
spisula,Modern,36.915387
spisula,Modern,38.606336
spisula,Modern,40.509459
spisula,Modern,36.69138
spisula,Modern,39.351445
spisula,Modern,40.229073
spisula,Modern,31.429825
spisula,Modern,39.27267
spisula,Modern,39.265165
spisula,Modern,38.970238
spisula,Modern,29.718719
spisula,Modern,39.850013
spisula,Modern,26.442178
spisula,Modern,26.436657
spisula,Modern,36.131451
spisula,Modern,38.207903
spisula,Modern,38.878935
spisula,Modern,39.321397
spisula,Modern,38.60766
spisula,Modern,39.850646
spisula,Modern,27.809415
spisula,Modern,27.265423
spisula,Modern,38.951015
spisula,Modern,38.963314
spisula,Modern,38.932059
spisula,Modern,26.43608
spisula,Modern,26.327115
spisula,Modern,39.278702
