genus,age,latitude
mulinia,Pleistocene,36.916943
cyclocardia,Pleistocene,36.916943
crepidula,Pleistocene,36.786667
spisula,Pleistocene,25.952999
mulinia,Pleistocene,26.885
crepidula,Pleistocene,26.885
chama,Pleistocene,26.885
mulinia,Pleistocene,26.885
chama,Pleistocene,26.885
parvilucina,Pleistocene,26.885
mulinia,Pleistocene,26.885
mulinia,Pleistocene,26.885
noetia,Pleistocene,26.885
parvilucina,Pleistocene,26.885
chama,Pleistocene,26.885
noetia,Pleistocene,26.885
parvilucina,Pleistocene,26.885
crepidula,Pleistocene,26.885
crepidula,Pleistocene,26.885
chama,Pleistocene,26.885
chama,Pleistocene,26.885
chama,Pleistocene,26.885
parvilucina,Pleistocene,26.885
modiolus,Pleistocene,26.885
mulinia,Pleistocene,26.885
parvilucina,Pleistocene,26.885
crepidula,Pleistocene,26.885
crepidula,Pleistocene,26.885
chama,Pleistocene,26.885
chama,Pleistocene,26.885
chama,Pleistocene,26.885
mulinia,Pleistocene,26.885
mulinia,Pleistocene,26.885
noetia,Pleistocene,26.885
parvilucina,Pleistocene,26.885
crepidula,Pleistocene,26.885
astarte,Pleistocene,35.283611
cyclocardia,Pleistocene,35.283611
astarte,Pleistocene,35.283611
astarte,Pleistocene,35.283611
cyclocardia,Pleistocene,35.283611
modiolus,Pleistocene,35.283611
astarte,Pleistocene,35.283611
astarte,Pleistocene,35.283611
cyclocardia,Pleistocene,35.283611
noetia,Pleistocene,35.283611
modiolus,Pleistocene,35.283611
astarte,Pleistocene,35.283611
astarte,Pleistocene,35.283611
astarte,Pleistocene,35.283611
astarte,Pleistocene,35.283611
cyclocardia,Pleistocene,35.283611
chama,Pleistocene,35.283611
modiolus,Pleistocene,35.283611
noetia,Pleistocene,35.283611
cyclocardia,Pleistocene,35.283611
parvilucina,Pleistocene,35.283611
crepidula,Pleistocene,35.283611
crepidula,Pleistocene,35.283611
crepidula,Pleistocene,35.283611
parvilucina,Pleistocene,35.283611
crepidula,Pleistocene,35.283611
crepidula,Pleistocene,35.283611
crepidula,Pleistocene,35.283611
