genus,age,latitude
astarte,Pliocene,26.885
chama,Pliocene,26.885
chama,Pliocene,26.885
chama,Pliocene,26.885
chesapecten,Pliocene,26.885
mulinia,Pliocene,26.885
mulinia,Pliocene,26.885
noetia,Pliocene,26.885
crepidula,Pliocene,26.885
crepidula,Pliocene,26.885
astarte,Pliocene,35.283611
cyclocardia,Pliocene,35.283611
astarte,Pliocene,35.283611
astarte,Pliocene,35.283611
cyclocardia,Pliocene,35.283611
modiolus,Pliocene,35.283611
astarte,Pliocene,35.283611
astarte,Pliocene,35.283611
cyclocardia,Pliocene,35.283611
noetia,Pliocene,35.283611
modiolus,Pliocene,35.283611
parvilucina,Pliocene,35.283611
crepidula,Pliocene,35.283611
crepidula,Pliocene,35.283611
chesapecten,Pliocene,37.232224
astarte,Pliocene,37.232224
astarte,Pliocene,37.232224
cyclocardia,Pliocene,37.232224
striarca,Pliocene,37.232224
chesapecten,Pliocene,37.232224
chesapecten,Pliocene,36.442501
chesapecten,Pliocene,36.442501
astarte,Pliocene,36.442501
chama,Pliocene,36.442501
chesapecten,Pliocene,35.384998
chesapecten,Pliocene,35.506668
astarte,Pliocene,35.506668
astarte,Pliocene,35.536667
astarte,Pliocene,34.618332
astarte,Pliocene,35.506668
astarte,Pliocene,35.506668
astarte,Pliocene,35.536667
astarte,Pliocene,35.384998
astarte,Pliocene,35.506668
astarte,Pliocene,35.506668
astarte,Pliocene,34.998055
astarte,Pliocene,34.896667
astarte,Pliocene,34.618332
astarte,Pliocene,34.496944
parvilucina,Pliocene,35.506668
parvilucina,Pliocene,34.896667
parvilucina,Pliocene,34.618332
mulinia,Pliocene,35.384998
mulinia,Pliocene,35.506668
mulinia,Pliocene,34.998055
mulinia,Pliocene,34.999443
mulinia,Pliocene,34.896667
mulinia,Pliocene,34.496944
mulinia,Pliocene,35.506668
mulinia,Pliocene,34.618332
crepidula,Pliocene,30.389168
crepidula,Pliocene,30.425556
crepidula,Pliocene,30.389168
crepidula,Pliocene,30.389168
crepidula,Pliocene,30.425556
noetia,Pliocene,30.389168
noetia,Pliocene,30.389168
noetia,Pliocene,30.425556
astarte,Pliocene,30.389168
astarte,Pliocene,30.389168
astarte,Pliocene,30.389168
astarte,Pliocene,30.389168
cyclocardia,Pliocene,30.389168
cyclocardia,Pliocene,30.972778
cyclocardia,Pliocene,30.389168
cyclocardia,Pliocene,30.425556
chama,Pliocene,30.425556
chama,Pliocene,30.389168
chama,Pliocene,30.388611
parvilucina,Pliocene,30.425556
parvilucina,Pliocene,30.389168
parvilucina,Pliocene,30.425556
parvilucina,Pliocene,30.389168
parvilucina,Pliocene,30.425556
parvilucina,Pliocene,30.388611
parvilucina,Pliocene,30.425556
parvilucina,Pliocene,30.389168
spisula,Pliocene,30.389168
spisula,Pliocene,30.425556
spisula,Pliocene,30.389168
mulinia,Pliocene,30.425556
mulinia,Pliocene,30.389168
mulinia,Pliocene,30.425556
mulinia,Pliocene,30.425556
chesapecten,Pliocene,37.514442
chama,Pliocene,37.514442
chesapecten,Pliocene,37.29361
crepidula,Pliocene,34.316944
crepidula,Pliocene,34.316944
cyclocardia,Pliocene,33.899445
cyclocardia,Pliocene,33.899445
cyclocardia,Pliocene,33.899445
chama,Pliocene,33.899445
chesapecten,Pliocene,33.100277
chesapecten,Pliocene,33.100277
astarte,Pliocene,33.100277
chesapecten,Pliocene,33.327499
chesapecten,Pliocene,33.488609
chesapecten,Pliocene,33.327499
chesapecten,Pliocene,33.327499
chesapecten,Pliocene,33.327499
chesapecten,Pliocene,33.327499
noetia,Pliocene,33.327499
noetia,Pliocene,33.327499
modiolus,Pliocene,33.327499
cyclocardia,Pliocene,33.327499
astarte,Pliocene,33.327499
astarte,Pliocene,33.327499
mulinia,Pliocene,33.327499
parvilucina,Pliocene,33.031944
crepidula,Pliocene,33.327499
astarte,Pliocene,37.095554
astarte,Pliocene,37.095554
parvilucina,Pliocene,37.095554
parvilucina,Pliocene,37.095554
parvilucina,Pliocene,37.095554
chesapecten,Pliocene,37.095554
parvilucina,Pliocene,37.095554
crepidula,Pliocene,37.095554
chesapecten,Pliocene,35.359722
astarte,Pliocene,34.287777
cyclocardia,Pliocene,34.287777
chama,Pliocene,34.287777
chesapecten,Pliocene,37.171665
cyclocardia,Pliocene,37.171665
astarte,Pliocene,37.171665
astarte,Pliocene,37.171665
chesapecten,Pliocene,37.171665
chama,Pliocene,37.171665
chesapecten,Pliocene,37.204445
cyclocardia,Pliocene,37.204445
astarte,Pliocene,37.204445
astarte,Pliocene,37.204445
cyclocardia,Pliocene,37.514442
astarte,Pliocene,37.514442
mulinia,Pliocene,26.699167
crepidula,Pliocene,26.673611
parvilucina,Pliocene,26.673611
mulinia,Pliocene,26.673611
mulinia,Pliocene,26.637501
mulinia,Pliocene,26.637501
mulinia,Pliocene,26.365278
mulinia,Pliocene,26.099167
mulinia,Pliocene,34.896667
astarte,Pliocene,34.896667
cyclocardia,Pliocene,34.896667
noetia,Pliocene,34.896667
mulinia,Pliocene,34.896667
cyclocardia,Pliocene,34.896667
noetia,Pliocene,34.896667
astarte,Pliocene,34.896667
crepidula,Pliocene,34.896667
crepidula,Pliocene,34.896667
striarca,Pliocene,37.26889
noetia,Pliocene,37.26889
chesapecten,Pliocene,37.26889
astarte,Pliocene,37.26889
astarte,Pliocene,37.26889
chama,Pliocene,37.26889
cyclocardia,Pliocene,37.26889
chesapecten,Pliocene,37.26889
cyclocardia,Pliocene,37.26889
astarte,Pliocene,37.233891
astarte,Pliocene,37.233891
chesapecten,Pliocene,37.233891
crepidula,Pliocene,37.233891
crepidula,Pliocene,37.233891
noetia,Pliocene,37.233891
spisula,Pliocene,37.233891
spisula,Pliocene,37.233891
mulinia,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
chama,Pliocene,37.233891
striarca,Pliocene,37.233891
noetia,Pliocene,37.233891
spisula,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
parvilucina,Pliocene,37.233891
chama,Pliocene,37.233891
mulinia,Pliocene,37.233891
astarte,Pliocene,37.233891
astarte,Pliocene,37.233891
crepidula,Pliocene,37.233891
crepidula,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
chesapecten,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
parvilucina,Pliocene,37.233891
astarte,Pliocene,37.233891
astarte,Pliocene,37.233891
chesapecten,Pliocene,37.233891
crepidula,Pliocene,37.233891
mulinia,Pliocene,37.233891
spisula,Pliocene,37.233891
noetia,Pliocene,37.233891
crepidula,Pliocene,37.233891
crepidula,Pliocene,37.233891
noetia,Pliocene,37.233891
parvilucina,Pliocene,37.233891
modiolus,Pliocene,37.233891
astarte,Pliocene,37.233891
chesapecten,Pliocene,37.233891
crepidula,Pliocene,37.233891
crepidula,Pliocene,37.233891
noetia,Pliocene,37.233891
spisula,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
chama,Pliocene,37.233891
parvilucina,Pliocene,37.233891
astarte,Pliocene,37.233891
crepidula,Pliocene,37.233891
crepidula,Pliocene,37.233891
striarca,Pliocene,37.233891
noetia,Pliocene,37.233891
parvilucina,Pliocene,37.233891
crepidula,Pliocene,37.233891
crepidula,Pliocene,37.233891
striarca,Pliocene,37.233891
noetia,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
parvilucina,Pliocene,37.233891
astarte,Pliocene,37.233891
astarte,Pliocene,37.233891
chesapecten,Pliocene,37.233891
crepidula,Pliocene,37.233891
striarca,Pliocene,37.233891
spisula,Pliocene,37.233891
chesapecten,Pliocene,37.233891
astarte,Pliocene,37.233891
astarte,Pliocene,37.233891
parvilucina,Pliocene,37.233891
cyclocardia,Pliocene,37.233891
astarte,Pliocene,34.896667
mulinia,Pliocene,34.896667
astarte,Pliocene,34.896667
noetia,Pliocene,34.896667
cyclocardia,Pliocene,34.896667
mulinia,Pliocene,34.896667
crepidula,Pliocene,34.896667
noetia,Pliocene,34.896667
mulinia,Pliocene,34.896667
astarte,Pliocene,34.896667
cyclocardia,Pliocene,34.896667
mulinia,Pliocene,34.896667
crepidula,Pliocene,34.896667
astarte,Pliocene,34.896667
spisula,Pliocene,34.896667
cyclocardia,Pliocene,34.896667
mulinia,Pliocene,34.896667
astarte,Pliocene,34.896667
cyclocardia,Pliocene,34.896667
astarte,Pliocene,26.761667
cyclocardia,Pliocene,26.761667
spisula,Pliocene,25.666945
mulinia,Pliocene,27.338057
crepidula,Pliocene,27.338057
mulinia,Pliocene,27.338057
chesapecten,Pliocene,25.901388
chesapecten,Pliocene,25.901388
chesapecten,Pliocene,25.901388
mulinia,Pliocene,25.901388
chesapecten,Pliocene,27.327778
astarte,Pliocene,27.327778
mulinia,Pliocene,30.432222
astarte,Pliocene,30.389168
crepidula,Pliocene,30.389168
mulinia,Pliocene,30.389168
noetia,Pliocene,30.389168
cyclocardia,Pliocene,30.389168
astarte,Pliocene,30.389168
cyclocardia,Pliocene,30.389168
chama,Pliocene,30.389168
chama,Pliocene,30.389168
mulinia,Pliocene,30.389168
noetia,Pliocene,30.389168
astarte,Pliocene,30.389168
astarte,Pliocene,30.389168
modiolus,Pliocene,30.389168
cyclocardia,Pliocene,30.389168
crepidula,Pliocene,30.389168
astarte,Pliocene,37.232224
mulinia,Pliocene,37.232224
chesapecten,Pliocene,37.232224
chesapecten,Pliocene,37.232224
astarte,Pliocene,37.232224
crepidula,Pliocene,37.232224
cyclocardia,Pliocene,37.232224
cyclocardia,Pliocene,37.148056
astarte,Pliocene,37.148056
mulinia,Pliocene,37.148056
striarca,Pliocene,37.148056
noetia,Pliocene,37.148056
chesapecten,Pliocene,37.148056
chesapecten,Pliocene,37.148056
chesapecten,Pliocene,37.148056
chesapecten,Pliocene,33.100277
astarte,Pliocene,33.100277
astarte,Pliocene,33.100277
cyclocardia,Pliocene,33.100277
chama,Pliocene,33.100277
parvilucina,Pliocene,33.100277
astarte,Pliocene,30.625834
parvilucina,Pliocene,30.625834
parvilucina,Pliocene,30.625834
chama,Pliocene,30.383333
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
crepidula,Pliocene,25.700001
spisula,Pliocene,35.149445
mulinia,Pliocene,35.149445
crepidula,Pliocene,27.336
mulinia,Pliocene,31.1646
mulinia,Pliocene,31.1646
mulinia,Pliocene,27.316668
chesapecten,Pliocene,27.316668
chesapecten,Pliocene,27.316668
cyclocardia,Pliocene,30.3876
chama,Pliocene,30.3876
noetia,Pliocene,30.3876
parvilucina,Pliocene,30.3876
mulinia,Pliocene,30.3876
chama,Pliocene,30.3876
