Tukey HSD results for all genera, ignoring age groups:
     Multiple Comparison of Means - Tukey HSD, FWER=0.05      
==============================================================
   group1      group2   meandiff p-adj   lower   upper  reject
--------------------------------------------------------------
    astarte       chama  -4.4902    0.0 -4.9849 -3.9955   True
    astarte chesapecten  -1.1493    0.0 -1.8426  -0.456   True
    astarte   crepidula  -2.8714    0.0 -3.3336 -2.4092   True
    astarte cyclocardia  -0.7157 0.0209  -1.376 -0.0554   True
    astarte    modiolus  -3.4656    0.0 -4.3113 -2.6198   True
    astarte     mulinia  -3.7948    0.0 -4.2997   -3.29   True
    astarte      noetia  -3.5062    0.0 -4.0231 -2.9893   True
    astarte parvilucina  -3.9145    0.0 -4.4962 -3.3328   True
    astarte     spisula   0.1024    1.0 -0.5347  0.7396  False
    astarte    striarca   3.3906 0.0012  0.8144  5.9667   True
      chama chesapecten   3.3409    0.0  2.7218    3.96   True
      chama   crepidula   1.6188    0.0  1.2779  1.9598   True
      chama cyclocardia   3.7745    0.0  3.1926  4.3565   True
      chama    modiolus   1.0247 0.0014  0.2386  1.8107   True
      chama     mulinia   0.6954    0.0  0.2985  1.0923   True
      chama      noetia    0.984    0.0  0.5719  1.3961   True
      chama parvilucina   0.5757 0.0075  0.0848  1.0667   True
      chama     spisula   4.5926    0.0  4.0371  5.1482   True
      chama    striarca   7.8808    0.0  5.3236 10.4379   True
chesapecten   crepidula  -1.7221    0.0 -2.3156 -1.1286   True
chesapecten cyclocardia   0.4336 0.7552 -0.3244  1.1917  False
chesapecten    modiolus  -2.3163    0.0 -3.2403 -1.3922   True
chesapecten     mulinia  -2.6455    0.0 -3.2728 -2.0183   True
chesapecten      noetia  -2.3569    0.0 -2.9939 -1.7198   True
chesapecten parvilucina  -2.7652    0.0 -3.4558 -2.0745   True
chesapecten     spisula   1.2517    0.0  0.5138  1.9897   True
chesapecten    striarca   4.5399    0.0   1.937  7.1428   True
  crepidula cyclocardia   2.1557    0.0  1.6011  2.7103   True
  crepidula    modiolus  -0.5942 0.3062 -1.3602  0.1719  False
  crepidula     mulinia  -0.9234    0.0  -1.279 -0.5679   True
  crepidula      noetia  -0.6348    0.0 -1.0072 -0.2623   True
  crepidula parvilucina  -1.0431    0.0 -1.5012 -0.5849   True
  crepidula     spisula   2.9738    0.0   2.447  3.5006   True
  crepidula    striarca    6.262    0.0  3.7109   8.813   True
cyclocardia    modiolus  -2.7499    0.0 -3.6494 -1.8503   True
cyclocardia     mulinia  -3.0792    0.0 -3.6698 -2.4886   True
cyclocardia      noetia  -2.7905    0.0 -3.3914 -2.1895   True
cyclocardia parvilucina  -3.1988    0.0 -3.8563 -2.5413   True
cyclocardia     spisula   0.8181  0.009  0.1111  1.5252   True
cyclocardia    striarca   4.1062    0.0  1.5119  6.7005   True
   modiolus     mulinia  -0.3293 0.9623 -1.1218  0.4632  False
   modiolus      noetia  -0.0406    1.0 -0.8409  0.7596  False
   modiolus parvilucina  -0.4489 0.8292 -1.2925  0.3946  False
   modiolus     spisula    3.568    0.0  2.6853  4.4507   True
   modiolus    striarca   6.8561    0.0  4.2085  9.5037   True
    mulinia      noetia   0.2887 0.5117 -0.1356  0.7129  False
    mulinia parvilucina  -0.1196 0.9996 -0.6208  0.3815  False
    mulinia     spisula   3.8973    0.0  3.3327  4.4619   True
    mulinia    striarca   7.1854    0.0  4.6262  9.7445   True
     noetia parvilucina  -0.4083 0.2697 -0.9216   0.105  False
     noetia     spisula   3.6086    0.0  3.0332   4.184   True
     noetia    striarca   6.8967    0.0  4.3352  9.4583   True
parvilucina     spisula   4.0169    0.0  3.3827  4.6511   True
parvilucina    striarca    7.305    0.0  4.7296  9.8804   True
    spisula    striarca   3.2881 0.0022  0.6996  5.8766   True
--------------------------------------------------------------
